epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.505,1.5371,2.85321,2.25322,0.49601,0.58046,0.53723,0.22571,1.53001,3.22903,2.51427,0.000650407,0.000650407,0.000650407
2,37.3521,1.44818,2.15657,2.11066,0.74114,0.61494,0.60173,0.23252,2.05886,2.39926,3.82639,0.00118668,0.00118668,0.00118668
3,51.5688,1.47815,1.83575,2.10454,0.80027,0.67816,0.73115,0.31844,1.80058,2.21089,2.83422,0.00159096,0.00159096,0.00159096
4,65.7203,1.39259,1.53183,1.99677,0.83844,0.78161,0.82784,0.38935,1.77705,1.6267,2.53096,0.001406,0.001406,0.001406
5,80.1026,1.35638,1.35815,1.96234,0.77059,0.79885,0.8115,0.34741,1.7525,1.46199,2.47449,0.001208,0.001208,0.001208
6,94.2036,1.349,1.25578,1.92226,0.93431,0.73562,0.86691,0.43106,1.61165,1.37697,2.28519,0.00101,0.00101,0.00101
7,108.019,1.28672,1.15078,1.86316,0.83579,0.79885,0.88053,0.47047,1.58405,1.2932,2.21187,0.000812,0.000812,0.000812
8,121.513,1.25545,1.04597,1.84574,0.86837,0.86207,0.89196,0.46016,1.55264,1.1302,2.22505,0.000614,0.000614,0.000614
9,135.207,1.19338,0.98285,1.76069,0.95002,0.9023,0.94942,0.53779,1.42385,0.93128,2.01039,0.000416,0.000416,0.000416
10,149.884,1.16298,0.90331,1.70577,0.91543,0.91954,0.9473,0.56309,1.37091,0.94048,1.94875,0.000218,0.000218,0.000218
