filename,class,xmin,ymin,xmax,ymax
V2-1-00001_png.rf.49bda12943077975eea2e86c3df18ae4.jpg,1,124,66,296,176
V2-1-00001_png.rf.49bda12943077975eea2e86c3df18ae4.jpg,1,321,198,416,294
IMG_20231011_112109_jpg.rf.878fae27d4612fe689992db25c0c0052.jpg,1,138,58,514,500
IMG_20231106_090546_jpg.rf.fcfc0fa70cabf83977645fbe7d4e31f4.jpg,1,60,200,384,613
V2-3-00033_png.rf.5fa15683c0443661ddd42a47f82af05f.jpg,1,231,36,321,176
V2-3-00033_png.rf.5fa15683c0443661ddd42a47f82af05f.jpg,1,309,131,564,308
IMG_20231018_113901_1_jpg.rf.ef2f948a9f5008b0375d29dd4d914014.jpg,1,60,204,519,444
IMG_20231011_112300_jpg.rf.467315b928b1b6de5e39dd015f65d66a.jpg,1,310,300,429,424
IMG_20231011_112300_jpg.rf.467315b928b1b6de5e39dd015f65d66a.jpg,1,169,100,453,528
IMG_20230926_145900_jpg.rf.e647140e46f9e8d3b3dbab0f7e8e958c.jpg,1,198,106,434,458
IMG_20231030_111815_jpg.rf.3ca2ad0277d2c11ad04b9502972c493b.jpg,1,139,23,534,475
IMG_20231004_153654_jpg.rf.23606ade0f83da753025015f76114b3e.jpg,1,174,174,474,575
IMG_20231011_112114_jpg.rf.efa9e0da9ed1405a908229a904005231.jpg,1,179,153,474,474
IMG_20231016_150515_jpg.rf.dfa7c25cd3df200a016672b82e0d9abc.jpg,1,323,95,574,480
IMG_20231011_112246_jpg.rf.3ce12cadff3f46c551c7343a84c7dda8.jpg,1,165,71,488,569
IMG_20231016_150430_jpg.rf.eaee17077e9191e86b7537975fd30e8f.jpg,1,268,75,500,490
IMG_20231027_135820_jpg.rf.3d9be46f41a03885a849f49c07ed9827.jpg,1,91,133,571,526
IMG_20231018_113827_jpg.rf.c5332fee813b4cdea08de022ec94f78b.jpg,1,132,80,507,507
IMG_20231008_152748_1_jpg.rf.d274b4772e75a3e16390017dfa20cc07.jpg,1,210,165,460,563
