epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2249,1.66588,3.5635,1.99105,0.09848,0.96552,0.84047,0.37788,1.52303,2.78913,2.43287,0.000271759,0.000271759,0.000271759
2,36.435,1.63484,2.43627,1.91486,0.84579,0.81953,0.88274,0.39759,1.73177,1.33776,2.64613,0.000548338,0.000548338,0.000548338
3,52.8579,1.56992,2.12995,1.85707,0.77156,0.85632,0.86382,0.39904,1.71465,1.32303,2.49134,0.000823817,0.000823817,0.000823817
4,69.4621,1.53475,2.00082,1.79532,0.7698,0.6954,0.73438,0.29957,1.9648,1.5505,2.76636,0.000828052,0.000828052,0.000828052
5,85.9803,1.53431,1.92157,1.80186,0.84943,0.83333,0.88831,0.4293,1.71254,1.39029,2.42751,0.000826403,0.000826403,0.000826403
6,101.941,1.5106,1.83524,1.79324,0.74207,0.82675,0.83137,0.39172,1.70797,1.34446,2.54582,0.000824753,0.000824753,0.000824753
7,118.861,1.49194,1.76667,1.75181,0.6677,0.77011,0.75176,0.34656,1.83087,1.41049,2.45586,0.000823104,0.000823104,0.000823104
8,135.992,1.49031,1.74095,1.75573,0.77308,0.70487,0.76133,0.37079,1.64963,1.52315,2.42017,0.000821455,0.000821455,0.000821455
9,152.744,1.50672,1.67502,1.75158,0.73488,0.75862,0.81075,0.34778,1.85416,1.36884,2.46449,0.000819805,0.000819805,0.000819805
10,170.029,1.44252,1.62094,1.71224,0.55745,0.68966,0.57175,0.25417,1.79788,1.43192,2.46198,0.000818156,0.000818156,0.000818156
11,187.454,1.46671,1.61546,1.72376,0.66283,0.72414,0.67687,0.3179,1.8317,1.38057,2.49429,0.000816507,0.000816507,0.000816507
12,203.95,1.44429,1.55631,1.72961,0.88236,0.93103,0.92409,0.48309,1.51062,1.0154,2.15334,0.000814857,0.000814857,0.000814857
13,221.001,1.41607,1.50745,1.67989,0.92452,0.89655,0.93885,0.5167,1.44112,1.03764,2.11021,0.000813208,0.000813208,0.000813208
14,239.405,1.42843,1.52172,1.69401,0.86101,0.9023,0.91014,0.45289,1.72309,0.9543,2.39131,0.000811559,0.000811559,0.000811559
15,257.357,1.42863,1.43628,1.69325,0.88744,0.90621,0.95101,0.50525,1.53882,0.91197,2.22213,0.000809909,0.000809909,0.000809909
16,274.816,1.40557,1.41855,1.67277,0.87013,0.93103,0.94646,0.49115,1.56756,0.97876,2.20772,0.00080826,0.00080826,0.00080826
17,292.355,1.40528,1.45361,1.67664,0.9219,0.88196,0.93013,0.52639,1.49619,0.9444,2.12176,0.000806611,0.000806611,0.000806611
18,308.564,1.41057,1.38878,1.67661,0.94078,0.8908,0.94623,0.48416,1.58155,0.92955,2.24112,0.000804961,0.000804961,0.000804961
19,324.98,1.38733,1.34819,1.64796,0.88864,0.91723,0.93727,0.50196,1.55716,1.00664,2.27978,0.000803312,0.000803312,0.000803312
20,341.314,1.41096,1.3862,1.6829,0.78975,0.86207,0.90785,0.47049,1.55907,0.99887,2.20222,0.000801663,0.000801663,0.000801663
21,356.653,1.38215,1.36229,1.6373,0.92056,0.93234,0.92766,0.51616,1.48103,0.84445,2.12144,0.000800013,0.000800013,0.000800013
22,372.333,1.36654,1.2969,1.62834,0.9223,0.88687,0.93166,0.51255,1.4754,0.8606,2.1784,0.000798364,0.000798364,0.000798364
23,388.08,1.37173,1.34442,1.64625,0.9505,0.88285,0.95429,0.53535,1.49843,0.84563,2.14733,0.000796715,0.000796715,0.000796715
24,404.044,1.35131,1.32666,1.63866,0.94703,0.92477,0.954,0.54099,1.43749,0.7797,2.08429,0.000795065,0.000795065,0.000795065
25,420.354,1.34825,1.252,1.62493,0.91741,0.90805,0.93262,0.51108,1.4637,0.87387,2.12217,0.000793416,0.000793416,0.000793416
26,436.675,1.39423,1.33129,1.65381,0.92701,0.93678,0.9725,0.53751,1.50546,0.77296,2.13996,0.000791767,0.000791767,0.000791767
27,452.578,1.34392,1.31208,1.61747,0.93991,0.89892,0.94823,0.52305,1.44807,0.94607,2.09881,0.000790117,0.000790117,0.000790117
28,468.001,1.33512,1.24896,1.60225,0.98748,0.90658,0.97513,0.54607,1.46149,0.756,2.13528,0.000788468,0.000788468,0.000788468
29,483.93,1.3165,1.24861,1.60689,0.9553,0.89655,0.96201,0.52305,1.52876,0.85228,2.19736,0.000786818,0.000786818,0.000786818
30,500.37,1.32167,1.28616,1.61239,0.94006,0.90133,0.9676,0.53645,1.41245,0.76852,2.07381,0.000785169,0.000785169,0.000785169
31,520.022,1.30637,1.21416,1.59473,0.90557,0.92529,0.94404,0.56103,1.37862,0.82149,2.02739,0.00078352,0.00078352,0.00078352
32,539.996,1.31665,1.22765,1.59536,0.95416,0.9023,0.94803,0.56073,1.42335,0.82052,2.05679,0.00078187,0.00078187,0.00078187
33,560.133,1.29195,1.16259,1.58485,0.89238,0.90541,0.93773,0.53889,1.46246,0.83455,2.12141,0.000780221,0.000780221,0.000780221
34,578.801,1.29262,1.21504,1.59163,0.94096,0.91604,0.95411,0.54515,1.48519,0.82526,2.16217,0.000778572,0.000778572,0.000778572
35,595.055,1.30791,1.21315,1.61561,0.86712,0.93761,0.94338,0.49866,1.49637,0.85893,2.125,0.000776922,0.000776922,0.000776922
36,611.306,1.29603,1.20284,1.57453,0.94333,0.9566,0.94931,0.57081,1.3973,0.72447,2.08262,0.000775273,0.000775273,0.000775273
37,626.901,1.28948,1.2036,1.56988,0.95749,0.93678,0.96818,0.54224,1.35735,0.76191,2.05779,0.000773624,0.000773624,0.000773624
38,643.117,1.31913,1.17763,1.58817,0.92013,0.92691,0.96315,0.56559,1.40509,0.76948,2.0936,0.000771974,0.000771974,0.000771974
39,659.33,1.30778,1.16003,1.59517,0.92213,0.95278,0.96096,0.55607,1.43305,0.71442,2.115,0.000770325,0.000770325,0.000770325
40,675.527,1.27098,1.1749,1.56817,0.89936,0.94828,0.94533,0.54593,1.40466,0.72306,2.08193,0.000768676,0.000768676,0.000768676
41,691.808,1.27732,1.16157,1.57944,0.92924,0.95402,0.96399,0.53843,1.44749,0.73793,2.17763,0.000767026,0.000767026,0.000767026
42,707.877,1.28142,1.17048,1.58865,0.95136,0.90805,0.96443,0.57121,1.36945,0.71378,2.00584,0.000765377,0.000765377,0.000765377
43,723.804,1.27039,1.16351,1.5646,0.95291,0.9303,0.95844,0.55339,1.37676,0.71946,2.04437,0.000763728,0.000763728,0.000763728
44,739.495,1.2697,1.13649,1.56715,0.90913,0.91379,0.96121,0.53821,1.44484,0.83379,2.09001,0.000762078,0.000762078,0.000762078
45,756.168,1.24093,1.11277,1.5468,0.94648,0.92529,0.95309,0.55707,1.41295,0.7033,2.08395,0.000760429,0.000760429,0.000760429
46,772.543,1.25774,1.17702,1.54232,0.9586,0.9315,0.97038,0.534,1.47887,0.7162,2.19914,0.00075878,0.00075878,0.00075878
47,788.317,1.25566,1.15381,1.54886,0.94008,0.94253,0.96704,0.54775,1.39716,0.70687,2.08581,0.00075713,0.00075713,0.00075713
48,804.006,1.25455,1.13379,1.55917,0.93647,0.93182,0.96793,0.5677,1.38119,0.74511,2.04384,0.000755481,0.000755481,0.000755481
49,822.134,1.24936,1.11865,1.55867,0.94585,0.90346,0.95652,0.57795,1.37326,0.6879,1.99793,0.000753832,0.000753832,0.000753832
50,844.465,1.24417,1.1177,1.53881,0.94382,0.94253,0.95048,0.57332,1.3571,0.70535,1.9945,0.000752182,0.000752182,0.000752182
51,867.601,1.24002,1.11202,1.55548,0.94551,0.93103,0.94942,0.58612,1.34356,0.70769,2.01063,0.000750533,0.000750533,0.000750533
52,889.219,1.23526,1.09472,1.52263,0.97598,0.94253,0.97413,0.54537,1.41802,0.74052,2.07714,0.000748884,0.000748884,0.000748884
53,910.341,1.23407,1.11643,1.54027,0.94504,0.96552,0.98119,0.58017,1.38756,0.64183,2.08986,0.000747234,0.000747234,0.000747234
54,932.948,1.22149,1.11606,1.53505,0.93862,0.97126,0.97205,0.56231,1.38667,0.68272,2.08089,0.000745585,0.000745585,0.000745585
55,955.9,1.23577,1.11347,1.52272,0.89961,0.92698,0.95121,0.54016,1.40289,0.7714,2.08778,0.000743936,0.000743936,0.000743936
56,978.872,1.20807,1.09596,1.51584,0.93143,0.93683,0.96464,0.56491,1.3516,0.71182,2.00892,0.000742286,0.000742286,0.000742286
57,1001.15,1.20497,1.07235,1.51281,0.98791,0.93919,0.98092,0.59955,1.33061,0.64494,1.98515,0.000740637,0.000740637,0.000740637
58,1023.97,1.23388,1.07885,1.53884,0.93949,0.89235,0.92747,0.53784,1.43619,0.75726,2.13396,0.000738988,0.000738988,0.000738988
59,1047.05,1.23862,1.05997,1.53179,0.92965,0.91139,0.95316,0.52986,1.43826,0.76518,2.11778,0.000737338,0.000737338,0.000737338
60,1070.28,1.22071,1.07582,1.52506,0.90952,0.92437,0.95152,0.56777,1.30413,0.67012,1.98815,0.000735689,0.000735689,0.000735689
61,1092.97,1.19034,1.01686,1.51053,0.96475,0.94253,0.97755,0.57202,1.40086,0.65288,2.08528,0.00073404,0.00073404,0.00073404
62,1115.06,1.2158,1.05545,1.52314,0.97027,0.93781,0.97232,0.58021,1.32998,0.63943,1.96543,0.00073239,0.00073239,0.00073239
63,1135.97,1.19002,1.05701,1.50357,0.95433,0.93103,0.9633,0.59396,1.31511,0.68168,1.96304,0.000730741,0.000730741,0.000730741
64,1152.83,1.18473,1.05145,1.49648,0.93681,0.93103,0.96413,0.60251,1.25665,0.6741,1.92055,0.000729092,0.000729092,0.000729092
65,1172.25,1.17624,1.08453,1.52805,0.94874,0.94253,0.96696,0.59245,1.34783,0.67795,2.01548,0.000727442,0.000727442,0.000727442
66,1188.92,1.16961,1.02225,1.50288,0.96424,0.94253,0.97224,0.53677,1.50936,0.7153,2.22707,0.000725793,0.000725793,0.000725793
67,1205.09,1.16445,1.03686,1.50084,0.94779,0.93896,0.97521,0.58888,1.34151,0.65976,1.99664,0.000724144,0.000724144,0.000724144
68,1221.8,1.16726,1.03075,1.4843,0.95438,0.96196,0.97102,0.57402,1.35752,0.65022,2.06407,0.000722494,0.000722494,0.000722494
69,1238.17,1.16871,1.02045,1.48015,0.95397,0.92529,0.96322,0.57143,1.3662,0.6839,2.07408,0.000720845,0.000720845,0.000720845
70,1254.4,1.1705,1.05867,1.4957,0.95955,0.92529,0.97377,0.58116,1.37167,0.66316,2.03502,0.000719196,0.000719196,0.000719196
71,1270.32,1.19171,1.05358,1.50464,0.95264,0.92474,0.96642,0.59197,1.33784,0.68547,1.98613,0.000717546,0.000717546,0.000717546
72,1287.23,1.15868,1.01042,1.47977,0.96254,0.93103,0.95616,0.55255,1.40514,0.66827,2.07639,0.000715897,0.000715897,0.000715897
73,1304.54,1.16121,0.98945,1.48622,0.93835,0.95402,0.96236,0.58534,1.33772,0.65954,2.00892,0.000714248,0.000714248,0.000714248
74,1321.47,1.15854,1.01976,1.48855,0.92495,0.95402,0.96222,0.60265,1.33255,0.63298,2.01468,0.000712598,0.000712598,0.000712598
75,1337.57,1.13042,0.99083,1.46943,0.95696,0.93103,0.96312,0.55651,1.39886,0.648,2.11892,0.000710949,0.000710949,0.000710949
76,1353.75,1.14298,0.97857,1.46067,0.94731,0.92989,0.94318,0.53342,1.41339,0.69545,2.17628,0.000709299,0.000709299,0.000709299
77,1369.97,1.14697,1.02129,1.46262,0.97659,0.95888,0.97048,0.57936,1.34097,0.63036,2.05399,0.00070765,0.00070765,0.00070765
78,1386.36,1.13522,0.97124,1.46349,0.95766,0.94828,0.96913,0.56642,1.36711,0.66165,2.05155,0.000706001,0.000706001,0.000706001
79,1402.7,1.11878,0.95726,1.46184,0.98185,0.95977,0.98115,0.60105,1.35226,0.59556,2.02394,0.000704351,0.000704351,0.000704351
80,1419.13,1.14923,1.04641,1.48424,0.9652,0.9563,0.98175,0.61479,1.31057,0.64439,2.00423,0.000702702,0.000702702,0.000702702
81,1435.48,1.13009,1.01407,1.45968,0.93498,0.95402,0.96537,0.57619,1.36122,0.64028,2.03325,0.000701053,0.000701053,0.000701053
82,1452.18,1.12658,0.97718,1.46831,0.94719,0.92772,0.94588,0.54847,1.40688,0.63862,2.0985,0.000699403,0.000699403,0.000699403
83,1469.16,1.11331,0.98028,1.4379,0.9202,0.92787,0.95754,0.60246,1.26652,0.71888,1.93849,0.000697754,0.000697754,0.000697754
84,1485.5,1.11658,0.97468,1.45662,0.97072,0.95272,0.98232,0.57622,1.35104,0.60674,2.04159,0.000696105,0.000696105,0.000696105
85,1501.56,1.10732,0.92466,1.44171,0.98027,0.95402,0.97944,0.61048,1.31444,0.60304,1.97585,0.000694455,0.000694455,0.000694455
86,1517.78,1.08786,0.93372,1.43669,0.94884,0.94828,0.96298,0.58845,1.30056,0.62572,1.98249,0.000692806,0.000692806,0.000692806
87,1533.9,1.12757,0.99062,1.46484,0.94843,0.95128,0.96825,0.60154,1.31874,0.61285,2.01714,0.000691157,0.000691157,0.000691157
88,1550.4,1.08585,0.97064,1.44788,0.97656,0.95765,0.97858,0.60855,1.33394,0.6253,2.05754,0.000689507,0.000689507,0.000689507
89,1566.31,1.10345,0.94996,1.44478,0.96495,0.94944,0.97434,0.58421,1.34806,0.6559,2.06285,0.000687858,0.000687858,0.000687858
90,1582.79,1.10944,0.97559,1.44698,0.96857,0.96552,0.97852,0.61441,1.25323,0.60891,1.92611,0.000686209,0.000686209,0.000686209
91,1599.17,1.11025,0.94113,1.44431,0.95538,0.91379,0.96395,0.58078,1.33956,0.63214,2.09959,0.000684559,0.000684559,0.000684559
92,1615.14,1.10889,0.96545,1.44369,0.93807,0.95764,0.96914,0.59016,1.35143,0.63945,2.04216,0.00068291,0.00068291,0.00068291
93,1631.26,1.09565,0.93384,1.44116,0.95331,0.93885,0.96207,0.54611,1.41781,0.62641,2.19873,0.000681261,0.000681261,0.000681261
94,1647.81,1.08525,0.92815,1.42635,0.94137,0.94828,0.95617,0.57636,1.27936,0.67436,1.99857,0.000679611,0.000679611,0.000679611
95,1664.5,1.07868,0.93529,1.4256,0.95945,0.95187,0.97175,0.59941,1.26357,0.622,1.9604,0.000677962,0.000677962,0.000677962
96,1680.5,1.07265,0.91719,1.43809,0.93821,0.96552,0.96431,0.5839,1.28298,0.62724,1.95692,0.000676313,0.000676313,0.000676313
97,1696.88,1.09678,0.94887,1.44781,0.97617,0.94151,0.96986,0.58265,1.34896,0.58608,2.10372,0.000674663,0.000674663,0.000674663
98,1713.58,1.07319,0.89909,1.40665,0.94234,0.93678,0.94973,0.573,1.30603,0.64116,2.00314,0.000673014,0.000673014,0.000673014
99,1729.93,1.11207,0.92793,1.43845,0.98959,0.94253,0.9855,0.60524,1.28286,0.57533,2.01656,0.000671365,0.000671365,0.000671365
100,1746.39,1.07837,0.9218,1.4031,0.96544,0.96327,0.98294,0.59672,1.29119,0.58136,2.0031,0.000669715,0.000669715,0.000669715
101,1762.94,1.07262,0.91303,1.41087,0.9417,0.95402,0.97535,0.58223,1.35821,0.58735,2.07943,0.000668066,0.000668066,0.000668066
102,1779.8,1.07455,0.92581,1.42553,0.94448,0.96552,0.97226,0.61268,1.25831,0.61376,1.95003,0.000666417,0.000666417,0.000666417
103,1796.27,1.04627,0.89561,1.3956,0.96733,0.95977,0.97123,0.59953,1.29682,0.61245,1.99743,0.000664767,0.000664767,0.000664767
104,1812.99,1.07525,0.91944,1.41925,0.96483,0.95977,0.98016,0.62882,1.24601,0.5749,1.96126,0.000663118,0.000663118,0.000663118
105,1829.34,1.06043,0.91554,1.40119,0.96658,0.94828,0.97087,0.61236,1.24979,0.584,1.98877,0.000661469,0.000661469,0.000661469
106,1846.04,1.05655,0.93018,1.41116,0.95982,0.92529,0.92914,0.57486,1.30207,0.63689,2.05125,0.000659819,0.000659819,0.000659819
107,1862.45,1.06772,0.90929,1.41122,0.98193,0.93665,0.94924,0.5568,1.4042,0.62652,2.23397,0.00065817,0.00065817,0.00065817
108,1878.5,1.07512,0.90904,1.43508,0.97016,0.93435,0.9814,0.58169,1.30484,0.64034,2.01279,0.000656521,0.000656521,0.000656521
109,1894.86,1.05189,0.87984,1.39903,0.96317,0.96552,0.97843,0.60774,1.26613,0.60745,1.9607,0.000654871,0.000654871,0.000654871
110,1911.41,1.04099,0.8717,1.38352,0.97002,0.95402,0.97462,0.60827,1.26106,0.56622,1.98746,0.000653222,0.000653222,0.000653222
111,1927.37,1.06947,0.92496,1.42404,0.95744,0.95402,0.96593,0.58861,1.33608,0.5729,2.10887,0.000651573,0.000651573,0.000651573
112,1943.4,1.07974,0.90525,1.42878,0.92474,0.94253,0.94869,0.56087,1.36861,0.63195,2.12215,0.000649923,0.000649923,0.000649923
113,1960.34,1.01069,0.87769,1.37763,0.95382,0.94963,0.98019,0.60377,1.28222,0.58361,2.06274,0.000648274,0.000648274,0.000648274
114,1976.72,1.05576,0.88298,1.40453,0.95096,0.95977,0.98441,0.61734,1.26819,0.57648,1.9897,0.000646625,0.000646625,0.000646625
115,1993.01,1.04393,0.87602,1.40183,0.94848,0.95215,0.98209,0.62001,1.26477,0.57691,1.9843,0.000644975,0.000644975,0.000644975
116,2009.43,1.01655,0.84612,1.37885,0.94246,0.96552,0.97176,0.5888,1.31391,0.58708,2.08819,0.000643326,0.000643326,0.000643326
117,2025.79,1.03301,0.86031,1.39332,0.93809,0.95797,0.97257,0.60371,1.3195,0.61895,2.09742,0.000641677,0.000641677,0.000641677
118,2041.46,1.04089,0.88321,1.4031,0.94847,0.95196,0.9595,0.57868,1.33735,0.58038,2.10467,0.000640027,0.000640027,0.000640027
119,2058.14,1.02715,0.84789,1.37788,0.95897,0.96552,0.98013,0.60225,1.32144,0.58157,2.07055,0.000638378,0.000638378,0.000638378
120,2074.53,1.02492,0.86751,1.38245,0.94535,0.96552,0.97739,0.60567,1.26699,0.59759,2.02687,0.000636729,0.000636729,0.000636729
121,2090.99,1.03565,0.83617,1.38817,0.96704,0.95402,0.97183,0.5802,1.35638,0.60933,2.10593,0.000635079,0.000635079,0.000635079
122,2106.99,1.02679,0.86448,1.39066,0.94544,0.94828,0.95904,0.58612,1.32822,0.59334,2.10518,0.00063343,0.00063343,0.00063343
123,2123.27,1.03643,0.8926,1.38892,0.95935,0.94953,0.96356,0.59843,1.32113,0.57075,2.09481,0.000631781,0.000631781,0.000631781
124,2139.86,1.04205,0.88902,1.39504,0.97047,0.93678,0.97111,0.60055,1.31498,0.59591,2.03669,0.000630131,0.000630131,0.000630131
125,2156.35,1.04083,0.86987,1.40326,0.96021,0.97071,0.9806,0.56755,1.40139,0.60478,2.17499,0.000628482,0.000628482,0.000628482
126,2172.64,1.01096,0.8492,1.37543,0.98814,0.958,0.98144,0.60511,1.30641,0.57382,2.07446,0.000626832,0.000626832,0.000626832
127,2189.12,1.01102,0.83882,1.37117,0.94254,0.94828,0.96459,0.58679,1.32601,0.57023,2.09577,0.000625183,0.000625183,0.000625183
128,2205.87,1.00737,0.87022,1.37194,0.96309,0.95977,0.95781,0.5972,1.2671,0.57393,1.9985,0.000623534,0.000623534,0.000623534
129,2222.01,1.00549,0.83926,1.36524,0.95988,0.96247,0.97965,0.58359,1.32759,0.59268,2.09163,0.000621884,0.000621884,0.000621884
130,2238.47,1.00408,0.86078,1.37657,0.96999,0.92895,0.94693,0.57522,1.31704,0.57314,2.08024,0.000620235,0.000620235,0.000620235
131,2255.19,0.99895,0.85232,1.36539,0.98252,0.96888,0.97448,0.57881,1.36326,0.57232,2.14459,0.000618586,0.000618586,0.000618586
132,2271.58,0.97679,0.82447,1.34016,0.95511,0.97828,0.97435,0.59361,1.30836,0.58688,2.08221,0.000616936,0.000616936,0.000616936
133,2288.05,0.98362,0.82722,1.36311,0.98457,0.95977,0.97859,0.59535,1.3061,0.56788,2.09397,0.000615287,0.000615287,0.000615287
134,2305.2,0.98759,0.81483,1.36071,0.97601,0.95402,0.98162,0.60345,1.33466,0.57642,2.07167,0.000613638,0.000613638,0.000613638
135,2322.02,0.99395,0.80613,1.3569,0.95997,0.96489,0.98015,0.61185,1.26146,0.55628,1.97452,0.000611988,0.000611988,0.000611988
136,2338.83,0.96685,0.7951,1.35407,0.95995,0.96421,0.97828,0.60588,1.30688,0.5816,2.0853,0.000610339,0.000610339,0.000610339
