epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5,0.71119,1.46292,1.17111,0.50794,0.44068,0.40661,0.15227,1.93784,2.53209,2.62405,0.000661247,0.000661247,0.000661247
2,76.1244,0.73005,0.98479,1.14861,0.72642,0.74011,0.80211,0.39317,1.4351,1.50333,2.04413,0.00130162,0.00130162,0.00130162
3,112.303,0.74845,0.82193,1.14635,0.38501,0.52542,0.37963,0.1735,1.72309,2.31843,2.54859,0.00191559,0.00191559,0.00191559
4,147.892,0.73553,0.75657,1.15035,0.7752,0.75983,0.84826,0.52619,1.09397,1.18088,1.64203,0.0018812,0.0018812,0.0018812
5,184.05,0.71843,0.68704,1.13014,0.87256,0.78531,0.87528,0.5722,1.00534,1.08786,1.55678,0.0018416,0.0018416,0.0018416
6,224.466,0.65498,0.61205,1.09911,0.97216,0.91525,0.95853,0.7822,0.58001,0.55039,1.17917,0.001802,0.001802,0.001802
7,263.071,0.61859,0.58638,1.07608,0.96156,0.84792,0.95493,0.75286,0.65767,0.78765,1.242,0.0017624,0.0017624,0.0017624
8,300.511,0.59203,0.55955,1.06955,0.94549,0.91525,0.9559,0.73042,0.80231,0.61709,1.37677,0.0017228,0.0017228,0.0017228
9,340.469,0.5788,0.53668,1.06345,0.95667,0.89266,0.94332,0.75012,0.614,0.58566,1.20525,0.0016832,0.0016832,0.0016832
10,377.443,0.55479,0.50812,1.0399,0.87523,0.91525,0.93566,0.77396,0.57484,0.61985,1.14389,0.0016436,0.0016436,0.0016436
11,413.894,0.53579,0.502,1.04148,0.85207,0.94376,0.96438,0.76977,0.59989,0.59088,1.17074,0.001604,0.001604,0.001604
12,449.478,0.53857,0.48945,1.03553,0.95534,0.9209,0.97142,0.81029,0.60118,0.51102,1.17644,0.0015644,0.0015644,0.0015644
13,486.009,0.5218,0.47144,1.01538,0.97083,0.94029,0.97423,0.82641,0.52331,0.4303,1.10539,0.0015248,0.0015248,0.0015248
14,523.084,0.49656,0.43761,1.01681,0.95755,0.94915,0.97794,0.83707,0.52045,0.4205,1.07023,0.0014852,0.0014852,0.0014852
15,559.646,0.4937,0.43903,1.00992,0.94138,0.9209,0.94825,0.78749,0.5266,0.46041,1.16736,0.0014456,0.0014456,0.0014456
16,596.081,0.48315,0.43471,1.01046,0.91028,0.91717,0.96735,0.80442,0.53245,0.47751,1.13134,0.001406,0.001406,0.001406
17,632.749,0.46843,0.42924,0.99523,0.97139,0.95906,0.97744,0.87266,0.46615,0.36496,1.05629,0.0013664,0.0013664,0.0013664
18,678.531,0.46367,0.40863,1.00186,0.98135,0.94915,0.97708,0.85146,0.437,0.36335,1.04512,0.0013268,0.0013268,0.0013268
19,726.584,0.45479,0.3982,0.98585,0.95922,0.97175,0.98098,0.89113,0.4174,0.34021,1.0499,0.0012872,0.0012872,0.0012872
20,762.848,0.43418,0.38803,0.97678,0.97699,0.96045,0.98172,0.86307,0.43628,0.35296,1.03442,0.0012476,0.0012476,0.0012476
21,798.669,0.43336,0.37274,0.97393,0.99411,0.95329,0.96576,0.84001,0.47449,0.35845,1.09513,0.001208,0.001208,0.001208
22,833.849,0.42519,0.36236,0.97386,0.97188,0.97644,0.97997,0.86524,0.43558,0.33396,1.04118,0.0011684,0.0011684,0.0011684
23,870.114,0.43147,0.3869,0.97898,0.94921,0.95034,0.97976,0.84473,0.48624,0.39376,1.09187,0.0011288,0.0011288,0.0011288
24,906.002,0.43393,0.37743,0.97961,0.97734,0.97466,0.98891,0.90063,0.37172,0.31563,0.98675,0.0010892,0.0010892,0.0010892
25,941.769,0.40782,0.36021,0.96407,0.99281,0.97175,0.99241,0.90332,0.37308,0.29944,0.97798,0.0010496,0.0010496,0.0010496
26,980.056,0.39812,0.35449,0.95827,0.9775,0.96045,0.98311,0.88751,0.38628,0.30657,0.99595,0.00101,0.00101,0.00101
27,1027.27,0.37934,0.33698,0.94576,0.97662,0.97175,0.98231,0.91058,0.36171,0.28005,0.99929,0.0009704,0.0009704,0.0009704
28,1073.55,0.39532,0.34247,0.9547,0.98749,0.9661,0.97917,0.88761,0.40258,0.32055,1.02575,0.0009308,0.0009308,0.0009308
29,1120.55,0.38135,0.34265,0.94894,0.98283,0.97046,0.98831,0.88541,0.39731,0.32838,1.01056,0.0008912,0.0008912,0.0008912
30,1163.28,0.38214,0.32791,0.95005,0.9756,0.93785,0.97085,0.86399,0.39147,0.31891,1.0252,0.0008516,0.0008516,0.0008516
31,1199.4,0.35871,0.3139,0.9354,0.98295,0.97688,0.98982,0.91581,0.3389,0.28445,0.95927,0.000812,0.000812,0.000812
32,1235.61,0.3646,0.30924,0.94122,0.97739,0.97686,0.99165,0.91839,0.35652,0.29321,0.96058,0.0007724,0.0007724,0.0007724
33,1271.53,0.35578,0.31479,0.93291,0.98281,0.98305,0.99322,0.91767,0.34377,0.25635,0.96677,0.0007328,0.0007328,0.0007328
34,1307.48,0.35047,0.30626,0.93351,0.9885,0.97167,0.98627,0.90859,0.33692,0.2673,0.9439,0.0006932,0.0006932,0.0006932
35,1343.63,0.34053,0.2979,0.92587,0.96109,0.97698,0.98949,0.89841,0.36164,0.30611,0.968,0.0006536,0.0006536,0.0006536
36,1379.71,0.33927,0.29211,0.92374,0.96643,0.97593,0.98616,0.91035,0.34224,0.26419,0.96344,0.000614,0.000614,0.000614
37,1415.79,0.33008,0.28315,0.91705,0.98716,0.9774,0.99041,0.91351,0.34466,0.27092,0.96457,0.0005744,0.0005744,0.0005744
38,1451.86,0.32307,0.27743,0.92317,0.96567,0.9774,0.98671,0.92022,0.3546,0.26903,0.98127,0.0005348,0.0005348,0.0005348
39,1488.17,0.31539,0.26774,0.91452,0.98854,0.97427,0.98453,0.91347,0.32924,0.25531,0.96936,0.0004952,0.0004952,0.0004952
40,1524.36,0.31856,0.269,0.91349,0.99355,0.9661,0.97772,0.90352,0.35336,0.25914,1.00475,0.0004556,0.0004556,0.0004556
41,1558.13,0.25231,0.21967,0.90325,0.97896,0.9774,0.98845,0.91725,0.32818,0.24834,0.9558,0.000416,0.000416,0.000416
42,1590.91,0.2451,0.20995,0.89509,0.97071,0.97175,0.98852,0.91571,0.32081,0.25656,0.94706,0.0003764,0.0003764,0.0003764
43,1623.87,0.22698,0.19812,0.87065,0.97528,0.9887,0.99317,0.93737,0.29849,0.23576,0.91957,0.0003368,0.0003368,0.0003368
44,1656.57,0.21589,0.19034,0.86123,0.98304,0.98254,0.99092,0.92565,0.29678,0.23363,0.94077,0.0002972,0.0002972,0.0002972
45,1689.61,0.21016,0.18389,0.86714,0.98188,0.97175,0.99063,0.93159,0.29311,0.22518,0.9334,0.0002576,0.0002576,0.0002576
46,1722.45,0.19999,0.1747,0.85426,0.96684,0.98825,0.99151,0.92948,0.28926,0.22382,0.92958,0.000218,0.000218,0.000218
47,1755.72,0.19628,0.16871,0.84677,0.97692,0.9887,0.99216,0.94123,0.26821,0.20961,0.91427,0.0001784,0.0001784,0.0001784
48,1788.78,0.18839,0.16434,0.84402,0.97764,0.98813,0.99259,0.94528,0.25829,0.20203,0.91124,0.0001388,0.0001388,0.0001388
49,1823.94,0.1786,0.15645,0.84057,0.96682,0.98787,0.9928,0.93887,0.2676,0.20313,0.91112,9.92e-05,9.92e-05,9.92e-05
50,1856.69,0.17532,0.15295,0.83313,0.9722,0.98795,0.99264,0.94039,0.26598,0.20659,0.91373,5.96e-05,5.96e-05,5.96e-05
