epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9295,0.70501,1.62117,1.16631,0.84443,0.79733,0.8561,0.60466,0.93359,2.04275,1.44976,0.000661247,0.000661247,0.000661247
2,80.7145,0.7502,1.01347,1.16232,0.41772,0.48023,0.43308,0.20949,1.52336,2.37721,2.17824,0.00130162,0.00130162,0.00130162
3,118.514,0.79486,0.90953,1.18533,0.78629,0.6236,0.69485,0.38567,1.45078,1.90679,1.92696,0.00191559,0.00191559,0.00191559
4,156.877,0.76407,0.80344,1.17081,0.89723,0.79096,0.85889,0.56337,0.98299,1.15949,1.66351,0.0018812,0.0018812,0.0018812
5,194.493,0.75811,0.73335,1.15639,0.79183,0.81664,0.84178,0.57148,0.88798,0.89086,1.48608,0.0018416,0.0018416,0.0018416
6,233.095,0.69136,0.65869,1.12042,0.77682,0.89266,0.88585,0.62756,0.74014,0.80386,1.30066,0.001802,0.001802,0.001802
7,271.217,0.65531,0.60392,1.10295,0.92781,0.9322,0.9405,0.71949,0.75676,0.60321,1.30832,0.0017624,0.0017624,0.0017624
8,310.823,0.6406,0.58905,1.09935,0.92211,0.93642,0.94489,0.73647,0.66511,0.60822,1.2214,0.0017228,0.0017228,0.0017228
9,350.701,0.61654,0.57368,1.08198,0.9648,0.92916,0.96775,0.73504,0.70769,0.57129,1.29439,0.0016832,0.0016832,0.0016832
10,390.74,0.58352,0.53837,1.06096,0.94982,0.94915,0.97092,0.8153,0.56007,0.46784,1.13542,0.0016436,0.0016436,0.0016436
11,430.475,0.55903,0.51919,1.05505,0.94206,0.93785,0.96605,0.79038,0.56221,0.49919,1.15318,0.001604,0.001604,0.001604
12,470.281,0.54617,0.49556,1.04679,0.90893,0.95863,0.97332,0.83343,0.48487,0.46996,1.10109,0.0015644,0.0015644,0.0015644
13,509.376,0.55631,0.49629,1.04458,0.93703,0.92482,0.9606,0.78373,0.58601,0.50322,1.19065,0.0015248,0.0015248,0.0015248
14,549.024,0.53519,0.47372,1.04175,0.98133,0.93785,0.97337,0.83918,0.51925,0.43941,1.10239,0.0014852,0.0014852,0.0014852
15,589.224,0.52059,0.46249,1.0332,0.95998,0.94873,0.97453,0.81456,0.50811,0.43959,1.11147,0.0014456,0.0014456,0.0014456
16,628.923,0.50432,0.45093,1.02509,0.94007,0.9748,0.98321,0.86883,0.44499,0.40364,1.05361,0.001406,0.001406,0.001406
17,668.27,0.48078,0.42628,1.00147,0.98116,0.94915,0.97885,0.85631,0.47983,0.40779,1.07664,0.0013664,0.0013664,0.0013664
18,708.135,0.47833,0.42487,1.00946,0.99212,0.96045,0.98162,0.85099,0.47081,0.34358,1.06967,0.0013268,0.0013268,0.0013268
19,748.082,0.47963,0.4244,1.0026,0.9607,0.97175,0.99034,0.84397,0.48371,0.40903,1.07667,0.0012872,0.0012872,0.0012872
20,787.405,0.45882,0.40324,0.99167,0.95836,0.96045,0.98327,0.86363,0.4417,0.38852,1.04648,0.0012476,0.0012476,0.0012476
21,826.797,0.45225,0.39215,0.98553,0.98691,0.9435,0.978,0.8606,0.45514,0.36202,1.07738,0.001208,0.001208,0.001208
22,866.633,0.43327,0.37722,0.97857,0.97149,0.9661,0.98579,0.87361,0.43858,0.36343,1.05658,0.0011684,0.0011684,0.0011684
23,906.535,0.44124,0.38869,0.99,0.95933,0.97175,0.98294,0.85332,0.47362,0.40604,1.07095,0.0011288,0.0011288,0.0011288
24,947.502,0.4476,0.3838,0.99079,0.94671,0.9548,0.97942,0.862,0.45194,0.41537,1.06872,0.0010892,0.0010892,0.0010892
25,988.585,0.44168,0.3733,0.98626,0.96906,0.9548,0.98373,0.88782,0.41361,0.33311,1.03617,0.0010496,0.0010496,0.0010496
26,1030.13,0.42032,0.36561,0.97099,0.99109,0.9774,0.99438,0.89989,0.38196,0.30395,1.00417,0.00101,0.00101,0.00101
27,1071.63,0.4057,0.35005,0.96256,0.97807,0.9548,0.98428,0.89266,0.39437,0.3238,1.0163,0.0009704,0.0009704,0.0009704
28,1112.88,0.4185,0.35487,0.96948,0.97719,0.96794,0.99037,0.88275,0.40906,0.34775,1.01906,0.0009308,0.0009308,0.0009308
29,1154.24,0.40588,0.35534,0.9584,0.97235,0.99357,0.99388,0.90847,0.34748,0.3157,0.95358,0.0008912,0.0008912,0.0008912
30,1197.78,0.40264,0.33696,0.96286,0.96934,0.9548,0.98134,0.87848,0.37735,0.34899,0.98581,0.0008516,0.0008516,0.0008516
31,1246.35,0.3742,0.32688,0.94282,0.97626,0.9774,0.98293,0.90661,0.36113,0.27944,0.98561,0.000812,0.000812,0.000812
32,1294.06,0.37765,0.31836,0.95107,0.97701,0.97175,0.99289,0.90756,0.37262,0.29104,0.98591,0.0007724,0.0007724,0.0007724
