nome_arquivo,soja,quantidade_soja
IMG_20230925_101832_jpg.rf.22b1cf0fe2cf3ee2165bbb71aeaee71a.jpg,1,1
IMG_20230925_101838_jpg.rf.00ac33759e17e019bdb55e8cacedd48b.jpg,1,1
IMG_20230925_101846_jpg.rf.72a9e9e4d5758704b664c16ea7c1ef1c.jpg,1,1
IMG_20230925_101905_jpg.rf.8f7bfcc7088abf3cce4ce48cbec76ed9.jpg,1,1
IMG_20230925_101911_jpg.rf.37c50ddf3c8654fd1256d280d5c65913.jpg,1,1
IMG_20230925_101923_jpg.rf.2baa46554c9d3e64d72b1b376a44a1e2.jpg,1,1
IMG_20230925_101938_jpg.rf.6e02d90befcc64d04f30e494eb7ef321.jpg,1,1
IMG_20230925_101958_jpg.rf.8ba6bf0a445165e2be424d5ba00ef8db.jpg,1,1
IMG_20230925_102027_jpg.rf.2b55b225173e40d425574b303ab70031.jpg,1,1
IMG_20230926_145653_jpg.rf.11470c2b9bfdd5697769dd8ab1e4f1c1.jpg,1,1
IMG_20230926_145705_jpg.rf.9e2c7e9f0cea8b942ba0baf95c0331af.jpg,1,1
IMG_20230926_145716_jpg.rf.63082a6102ebde3ac56fc6f149e3fc01.jpg,1,1
IMG_20230926_145756_jpg.rf.2c61b8ecd29ea3ce6abdcc81c0c2a857.jpg,1,1
IMG_20230926_145759_jpg.rf.0a4bf70d36f71be8c4dd2278e935a2c7.jpg,1,1
IMG_20230926_145814_jpg.rf.519a501c9cd167a01c27ea5c8e9d7124.jpg,1,1
IMG_20230926_145827_jpg.rf.37dc08c9d7cf36594edf8b0ff88d3b27.jpg,1,1
IMG_20230926_145836_jpg.rf.84e28fd3618ece2b4d6caef341f3726c.jpg,1,1
IMG_20230926_145846_jpg.rf.66a57892e541dbca5c78f36ed23d6067.jpg,1,1
IMG_20230926_145900_jpg.rf.2cef6fd16c4ef5cb6d8a464158a24151.jpg,1,1
IMG_20230926_145908_jpg.rf.02ee6adddead204dadcce815e6208a1c.jpg,1,1
IMG_20230926_145940_jpg.rf.8e1e1f525f88e46cfd61ef601e04a19a.jpg,1,1
IMG_20230926_145945_jpg.rf.7c5f27d31e1e3193bc10c4a5019c3c5d.jpg,1,1
IMG_20230926_150027_jpg.rf.0cfcb2609f2f08f017f5674d96090cbc.jpg,1,1
IMG_20230926_150115_jpg.rf.c0dae49493b20b12f550fc4938faff72.jpg,1,1
IMG_20230926_150127_jpg.rf.2c6cfb8a8b0db8fb4dc1c54fd8e295b8.jpg,1,1
IMG_20230926_150233_jpg.rf.7e64a13e75f040b524942907328f3406.jpg,1,1
IMG_20230926_150242_jpg.rf.0ca9ac01520b75489964ed68448033a7.jpg,1,1
IMG_20230926_150304_jpg.rf.6b31b82ee72a89341050c7a6988b81b0.jpg,1,1
IMG_20230926_150333_jpg.rf.3b83cc7f300074616782569dbf77c2e7.jpg,1,1
IMG_20230926_150339_jpg.rf.316e5b6a8b0ec3cfb34ee3a05702f876.jpg,1,1
IMG_20230927_154846_jpg.rf.2de0310ab431647fb48432a92c589a81.jpg,1,1
IMG_20230927_154903_jpg.rf.0d1b5150e6d1dc8c6b0986009f32d3c9.jpg,1,1
IMG_20230927_154907_jpg.rf.af4001ab9a44303c4b46f0ac10a33454.jpg,1,1
IMG_20230927_154915_jpg.rf.75631c8ca9b9e13bf7fcc03fade85082.jpg,1,1
IMG_20230927_154930_jpg.rf.477e58d631c0f94b737d841d00305c45.jpg,1,1
IMG_20230927_154935_jpg.rf.72a5063604dbcb1d57a73399e2e27237.jpg,1,1
IMG_20230927_154946_jpg.rf.7b51a3099d074cefbab63630a32fb09c.jpg,1,1
IMG_20230927_155000_jpg.rf.1a9d734f2c0ca5d41da39d675d76269b.jpg,1,1
IMG_20230927_155004_jpg.rf.5b8fd02a5538281d9bfb8beb5a7c9e93.jpg,1,1
IMG_20230927_155123_jpg.rf.49fc6fb9ded644d79090bb0965a6bf95.jpg,1,1
IMG_20230927_155129_jpg.rf.6eb40530dc3c4639ad0e60cb63871321.jpg,1,1
IMG_20230927_155134_jpg.rf.1cef001affccf182c54bbbf594b762e7.jpg,1,1
IMG_20230927_155141_jpg.rf.1b8d15654a4fa1e95a4ce46ea3e2a65e.jpg,1,1
IMG_20230927_155154_jpg.rf.8e74c2a35c7d3fbb3ff8c2e08cb443a9.jpg,1,1
IMG_20230927_155159_jpg.rf.6bfa2010d6cc2ad949d353b29cb2d760.jpg,1,1
IMG_20230927_155204_jpg.rf.7e50ff48dcf0264ab5e48968bc98c48b.jpg,1,1
IMG_20230927_155327_jpg.rf.8665c9edc42bfe974a8b0447ff2fd888.jpg,1,1
IMG_20230927_155331_jpg.rf.188f0bff92c4a174e595a7eec8dabcaf.jpg,1,1
IMG_20230927_155336_jpg.rf.5d9d33e8ab5a3c71cedc972a35ea335c.jpg,1,1
IMG_20230927_155711_jpg.rf.acf636c3013e65216c11bd71e5d5ff29.jpg,1,2
IMG_20230927_155714_jpg.rf.2ebabb372e8edf2e31cf1ab68ea75556.jpg,1,2
IMG_20230927_155718_jpg.rf.6929816bfa203aa47538be5c49acaed8.jpg,1,2
IMG_20230927_155724_jpg.rf.6c79c818b0b608a3293c2f2f65adc7ae.jpg,1,2
IMG_20230927_155733_jpg.rf.8cd7c4f74bfcc9775528a19e824e4767.jpg,1,2
IMG_20230927_155737_jpg.rf.03f268dbcd55efe0011dcc6c020a1298.jpg,1,2
IMG_20230927_155751_jpg.rf.7eb2358817c732849a408cc486a8c975.jpg,1,1
IMG_20230927_155755_jpg.rf.35cb9fd7491ee6cce81e66717f8b217b.jpg,1,1
IMG_20230927_155758_jpg.rf.3cbc0fdcf3715d6319488a6a5a18cc11.jpg,1,1
IMG_20230927_155803_jpg.rf.463eef61a29da02956285293dc4cd662.jpg,1,1
IMG_20230927_155807_jpg.rf.ac009005c1f9136d194bf16ad85a8f06.jpg,1,1
IMG_20230927_155811_jpg.rf.8d2c6a15d87280afd63b568df454edfa.jpg,1,1
IMG_20230927_155816_jpg.rf.0ad335262a944744f0bbc6cc31431d72.jpg,1,1
IMG_20230927_155819_jpg.rf.24921bbd2e464e06b7ee058fa4a38118.jpg,1,1
IMG_20230927_155829_jpg.rf.0e948dd982ee1b6e983e0bdcc890a091.jpg,1,1
IMG_20230927_155833_jpg.rf.3fbd2c1e791b0c0e7092a6b0651e9e7a.jpg,1,1
IMG_20230928_102517_jpg.rf.0a76904209654cdaf76ab6e8461899f9.jpg,1,1
IMG_20230928_102529_jpg.rf.13db6dc1e886f51a36cf2cfe597c527d.jpg,1,1
IMG_20230928_102550_jpg.rf.1f0cda4f8471412dab62f5359ff20204.jpg,1,1
IMG_20230928_102556_jpg.rf.2caa56a1d6c6f049e695436bc43b9445.jpg,1,1
IMG_20230928_102615_jpg.rf.3b99e7bda7937f3ca98f55c84a65948a.jpg,1,1
IMG_20230928_102621_jpg.rf.740965c7e3dd81389c25179e06bfd079.jpg,1,1
IMG_20230928_102626_jpg.rf.005adab4c044bbc35fb3acdec651b681.jpg,1,1
IMG_20230928_102636_jpg.rf.4a4e7ca5e95e6eac3386fa5a5aaf3b7c.jpg,1,1
IMG_20230928_102642_jpg.rf.0df74d94a8f93880d3439c4e9bfe9c07.jpg,1,1
IMG_20230928_102649_jpg.rf.788a6ea7f779cc31b6fce631bb3a06ac.jpg,1,1
IMG_20230928_102719_jpg.rf.bc4c6659de788127547ba288bac89d75.jpg,1,1
IMG_20230928_102738_jpg.rf.592e58a3fc0a22ca441854fb00d5a09d.jpg,1,1
IMG_20230928_103200_jpg.rf.023efc2cff40275b7697c59f0f28e462.jpg,1,1
IMG_20230928_103206_jpg.rf.0c66d693541a99ce63ad237000ff1271.jpg,1,1
IMG_20230928_103214_jpg.rf.1c2f650136729a1825577c0591d59a15.jpg,1,1
IMG_20230928_103228_jpg.rf.656a3d2556482b47e39e9dddabfacff4.jpg,1,1
IMG_20230928_103233_jpg.rf.6f7a408b10d179d44d2e049520e7ea8a.jpg,1,1
IMG_20230928_103301_jpg.rf.cabd9c836616ec267d01ab3130bb8529.jpg,1,1
IMG_20230928_103304_jpg.rf.725a01d6d31bccbc64cb0bae24020d03.jpg,1,1
IMG_20230928_103310_jpg.rf.f5e46e1663491685c875d0d79c29fc7d.jpg,1,1
IMG_20231001_155426_jpg.rf.8b4f55e9a7aa48536fa6887bfdc1c7ac.jpg,1,1
IMG_20231001_155432_jpg.rf.27fcdb096a1011762fed295be6398df3.jpg,1,1
IMG_20231001_155436_jpg.rf.d3fa65849670577db9915534298be324.jpg,1,1
IMG_20231001_155442_jpg.rf.0ea5ca8035e3a5d2067274233716f92d.jpg,1,1
IMG_20231001_155602_jpg.rf.81bedf14d65e497fa7de77940e3eacb2.jpg,1,1
IMG_20231001_155608_1_jpg.rf.280fd795b17f30ca5e422ae21da6b47e.jpg,1,1
IMG_20231001_155617_jpg.rf.0ae35da0aa12e596765a2c7ea9f65e75.jpg,1,1
IMG_20231001_155621_jpg.rf.13d0f4f499e84bf48430d8724c5ccac5.jpg,1,1
IMG_20231001_155625_jpg.rf.94f0b9d214cfdfa3bd21754b8616c7a9.jpg,1,1
IMG_20231001_155630_1_jpg.rf.4f061a84ed5d6ea5f6f82d232948743a.jpg,1,2
IMG_20231001_155634_1_jpg.rf.6f6acb37c62f385cbe4172ddce14e3f4.jpg,1,2
IMG_20231001_155639_jpg.rf.4d7f3e9aed960b5293c67711a1cc330c.jpg,1,2
IMG_20231001_155649_jpg.rf.5c646ead4ad24b28ec11203f9b90dbf8.jpg,1,2
IMG_20231001_155747_jpg.rf.5b0c363143c2eba4ff358747212ed15c.jpg,1,2
IMG_20231001_155750_jpg.rf.5788521c35cac206dcb1f5688cddb4be.jpg,1,2
IMG_20231001_155800_jpg.rf.13e5a4119c8503aba80e882484e733fa.jpg,1,2
IMG_20231001_155815_jpg.rf.6a7318f8d355a4c1e1bca759c6ebcd22.jpg,1,2
IMG_20231001_155836_jpg.rf.4dd8444742824282236ddba81eb7ba26.jpg,1,2
IMG_20231001_155845_jpg.rf.010193dd8b28108e1e0419330abcca94.jpg,1,2
IMG_20231001_155849_jpg.rf.654e18db227cc4b91d9aa70cd4104aa0.jpg,1,2
IMG_20231001_155903_jpg.rf.74d1508c50521421167b9a7365d6c378.jpg,1,2
IMG_20231001_155907_jpg.rf.9d496fa0ae37e4aec0ae6603b9f8da19.jpg,1,2
IMG_20231001_155908_jpg.rf.ea6e650220bbe9178a81dc9be52942df.jpg,1,2
IMG_20231001_155921_1_jpg.rf.1ab17b06da5afbe2d286b1f0fc380b95.jpg,1,2
IMG_20231001_155924_1_jpg.rf.66d093ee582294a5d100260ad78c7d9c.jpg,1,2
IMG_20231001_155928_jpg.rf.5b570bc36b32913a38a09748cc8cf7df.jpg,1,2
IMG_20231002_143309_jpg.rf.2a7917582f80d583c82bbfd63dafc0cc.jpg,1,1
IMG_20231002_143314_jpg.rf.8f7311b3eb2af19212e14bb7bac6016e.jpg,1,1
IMG_20231002_143317_1_jpg.rf.3df6aa6db3ac5b7c50dfc838a2e4273c.jpg,1,1
IMG_20231002_143325_jpg.rf.7dd8288e82a2d515f76b5bdf32231615.jpg,1,1
IMG_20231002_143346_jpg.rf.2c823ee6381ab5e65cc4863a4fad074a.jpg,1,1
IMG_20231002_143349_jpg.rf.65e55c3309143b9626375b2247327764.jpg,1,1
