epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3644,1.73371,2.57356,2.05249,0.456,0.25862,0.33957,0.1203,1.7837,3.26341,3.06988,0.000650407,0.000650407,0.000650407
2,33.6882,1.64041,2.16416,2.00252,0.41043,0.55172,0.43536,0.14669,2.03611,3.06645,3.77725,0.001291,0.001291,0.001291
3,47.2609,1.67821,1.99925,2.00662,0.18028,0.25287,0.13436,0.03738,2.39868,10.0108,3.65735,0.00190518,0.00190518,0.00190518
4,59.9339,1.66874,1.8267,2.00421,0.50709,0.65517,0.52182,0.16457,2.01273,2.36743,3.01354,0.0018812,0.0018812,0.0018812
5,73.278,1.66012,1.74919,1.98539,0.02269,0.08621,0.02735,0.00794,2.42577,3.10922,3.14935,0.0018416,0.0018416,0.0018416
6,90.5656,1.64654,1.66336,1.96222,0.78483,0.49425,0.61848,0.24383,2.11231,2.20398,2.8426,0.001802,0.001802,0.001802
7,103.824,1.65392,1.65944,1.99486,0.11796,0.13218,0.06801,0.01615,2.77449,3.03963,3.69714,0.0017624,0.0017624,0.0017624
8,116.777,1.63573,1.59002,1.95748,0.26414,0.35632,0.18841,0.0506,2.54281,2.52859,3.74167,0.0017228,0.0017228,0.0017228
9,130.152,1.60713,1.58984,1.92985,0.77932,0.63793,0.707,0.30199,1.94199,1.41639,2.6562,0.0016832,0.0016832,0.0016832
10,143.467,1.57731,1.56347,1.88398,0.4973,0.45977,0.43424,0.12739,2.31484,2.13273,3.41019,0.0016436,0.0016436,0.0016436
11,156.31,1.58365,1.48701,1.89143,0.7828,0.7069,0.77114,0.31647,1.90401,1.83468,2.69562,0.001604,0.001604,0.001604
12,169.532,1.55612,1.47528,1.87808,0.7344,0.57471,0.59732,0.21288,2.32902,1.67999,3.36295,0.0015644,0.0015644,0.0015644
13,182.515,1.54258,1.42491,1.86184,0.71882,0.764,0.78966,0.34984,1.86822,1.26769,2.60664,0.0015248,0.0015248,0.0015248
14,195.627,1.54173,1.48606,1.88104,0.69368,0.66376,0.68099,0.29396,1.92303,1.50163,2.64542,0.0014852,0.0014852,0.0014852
15,208.34,1.56506,1.36872,1.87962,0.78954,0.79773,0.75224,0.29428,1.94603,1.33285,2.72872,0.0014456,0.0014456,0.0014456
16,221.187,1.53361,1.37789,1.8751,0.61223,0.60345,0.56768,0.19245,2.30157,2.06553,3.41016,0.001406,0.001406,0.001406
17,233.953,1.51249,1.3629,1.84444,0.77543,0.55565,0.59106,0.19983,2.34772,1.69917,3.26478,0.0013664,0.0013664,0.0013664
18,246.862,1.50881,1.34816,1.82941,0.84553,0.65517,0.71966,0.28781,2.22329,1.40185,3.00402,0.0013268,0.0013268,0.0013268
19,261.407,1.4966,1.34391,1.82538,0.85684,0.75287,0.80503,0.30931,2.07347,1.24389,2.843,0.0012872,0.0012872,0.0012872
20,278.455,1.50982,1.36837,1.84854,0.72828,0.61494,0.67647,0.25525,2.18597,1.58192,2.93603,0.0012476,0.0012476,0.0012476
21,294.192,1.51261,1.33627,1.83894,0.7793,0.63218,0.68393,0.27385,2.22592,1.60302,3.05843,0.001208,0.001208,0.001208
22,310.083,1.4857,1.34246,1.81523,0.79835,0.70115,0.74086,0.29399,2.04434,1.27442,2.86922,0.0011684,0.0011684,0.0011684
23,326.522,1.47825,1.28986,1.78227,0.8123,0.67152,0.70547,0.25419,2.18495,1.34405,3.15882,0.0011288,0.0011288,0.0011288
24,340.462,1.42033,1.27364,1.77409,0.63087,0.75862,0.66548,0.25967,2.14319,1.29328,2.9189,0.0010892,0.0010892,0.0010892
25,353.454,1.4478,1.28425,1.79657,0.88009,0.75927,0.86151,0.46627,1.65643,1.01883,2.36536,0.0010496,0.0010496,0.0010496
26,365.994,1.37606,1.27911,1.7494,0.88416,0.83333,0.90098,0.44588,1.66169,1.00732,2.35461,0.00101,0.00101,0.00101
27,378.712,1.42635,1.25511,1.76821,0.80256,0.79885,0.81093,0.34278,2.00578,1.12504,2.7261,0.0009704,0.0009704,0.0009704
